Feature,Importance
DURATION_IN,0.89443225
NUM_PKTS_128_TO_256_BYTES,0.024971308
MAX_TTL,0.019866666
TCP_WIN_MAX_OUT,0.01806568
DURATION_OUT,0.007743349
FLOW_DURATION_MILLISECONDS,0.0068616746
IN_BYTES,0.006167546
TCP_WIN_MAX_IN,0.0046636015
MIN_TTL,0.004266486
OUT_BYTES,0.0017946698
SHORTEST_FLOW_PKT,0.001665974
NUM_PKTS_UP_TO_128_BYTES,0.0012305905
LONGEST_FLOW_PKT,0.0010091435
NUM_PKTS_512_TO_1024_BYTES,0.0008233764
SRC_TO_DST_AVG_THROUGHPUT,0.00077904254
DNS_TTL_ANSWER,0.00068389165
DST_TO_SRC_AVG_THROUGHPUT,0.00067600573
OUT_PKTS,0.00066482637
NUM_PKTS_256_TO_512_BYTES,0.00055864576
MIN_IP_PKT_LEN,0.0005400064
IN_PKTS,0.000532474
RETRANSMITTED_IN_BYTES,0.0005136813
NUM_PKTS_1024_TO_1514_BYTES,0.0004407162
RETRANSMITTED_IN_PKTS,0.0003934507
RETRANSMITTED_OUT_BYTES,0.00027984788
RETRANSMITTED_OUT_PKTS,0.00021815798
DST_TO_SRC_SECOND_BYTES,0.00015693148
SRC_TO_DST_SECOND_BYTES,0.0
MAX_IP_PKT_LEN,0.0
